Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
,,,,,,,,,,,,,,,,,,,,,,,
1768500303,0,,Aggregated,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
1768500304,5,,Aggregated,0,0,15,24,24,73,73,73,73,73,73,73,73,5,0,15,27.64718,13.1464,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500305,15,,Aggregated,0,0,15,19,20,20,24,73,73,73,73,73,73,11,0,15,20.96343636,10.4759,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500306,20,,Aggregated,5,0,15,19,23,24,37,38,73,73,73,73,73,24,0,14,18.19740417,4.904000001,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500307,20,,Aggregated,5.5,0,15,20,26,38,45,58,73,73,73,73,73,35,0,15,20.96594286,4.904000001,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500308,20,,Aggregated,7.333333,0,12,17,20,24,45,46,73,73,73,73,73,46,0,11,17.80772826,4.904000001,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500309,20,,Aggregated,8.25,0,12,15,19,20,42,46,58,73,73,73,73,56,0,11,16.5688,4.904000001,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500310,20,,Aggregated,8.25,0,10,15,19,20,38,45,58,73,73,73,73,64,0,10,15.52082344,3.868600001,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500311,20,,Aggregated,8.8,0,9,13,16,19,37,45,58,73,73,73,73,74,0,8,14.34894054,3.843399998,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500312,20,,Aggregated,9.142857,0,8,12,15,17,26,45,58,73,73,73,73,84,0,8,13.61472619,3.843399998,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500313,20,,Aggregated,9.25,0,8,12,15,16,24,45,58,73,73,73,73,91,0,8,13.28482088,3.843399998,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500314,20,,Aggregated,8.777778,0,8,12,13,16,24,45,58,73,73,73,73,99,0,8,12.78975758,3.843399998,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500315,20,,Aggregated,8.9,0,8,12,14,15,24,42,46,58,73,73,73,111,0,8,12.68554505,3.843399998,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500316,20,,Aggregated,9.3,0,8,11,13,15,24,38,46,58,73,73,73,124,0,8,11.92426935,3.088900001,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500317,20,,Aggregated,9.9,0,8,10,13,14,23,38,46,58,73,73,73,132,0,7,11.60559091,3.088900001,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500318,20,,Aggregated,9.8,0,8,10,13,14,21,37,46,58,73,73,73,142,0,8,11.39914225,3.088900001,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500319,20,,Aggregated,9.5,0,7,10,12,13,20,37,45,58,73,73,73,152,0,7,11.11793224,3.041299999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500320,20,,Aggregated,9.5,0,7,10,12,13,20,28,45,58,73,73,73,161,0,7,10.84405466,3.041299999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500321,20,,Aggregated,9.3,0,7,9,12,13,20,28,45,58,73,73,73,170,0,7,10.69200706,3.041299999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500322,20,,Aggregated,9.4,0,7,9,11,13,19,28,45,58,73,73,73,180,0,7,10.48449444,3.041299999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500323,20,,Aggregated,9.4,0,7,9,11,13,17,26,45,58,73,73,73,191,0,7,10.36645445,3.041299999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500324,20,,Aggregated,10,0,7,9,11,13,17,26,45,58,73,73,73,200,0,7,10.1918655,3.041299999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500325,20,,Aggregated,9.8,0,7,9,11,12,17,26,45,46,73,73,73,214,0,7,10.01606355,3.041299999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500326,20,,Aggregated,10,0,7,9,11,12,16,24,45,46,73,73,73,221,0,7,9.916819457,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500327,20,,Aggregated,10,0,7,9,11,12,16,24,45,46,73,73,73,232,0,7,9.840784914,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500328,20,,Aggregated,9.9,0,7,9,11,12,16,24,45,46,73,73,73,240,0,7,9.834643333,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500329,20,,Aggregated,10.1,0,7,9,11,12,15,24,45,46,73,73,73,250,0,7,9.7958608,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500330,20,,Aggregated,9.7,0,7,9,11,12,15,24,42,46,73,73,73,258,0,7,9.662581783,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500331,20,,Aggregated,9.4,0,7,9,11,12,15,23,42,46,73,73,73,271,0,7,9.491320295,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500332,20,,Aggregated,9.9,0,7,9,11,12,15,21,42,46,73,73,73,281,0,7,9.411047687,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500333,20,,Aggregated,10.1,0,7,9,11,12,15,22,42,46,73,73,73,290,0,7,9.464036207,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500334,20,,Aggregated,10.1,0,7,9,11,12,15,22,42,46,73,73,73,299,0,7,9.398738462,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500335,20,,Aggregated,9.8,0,7,9,10,12,15,21,38,45,73,73,73,314,0,7,9.311593949,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500336,20,,Aggregated,10.1,0,7,9,10,12,15,21,38,45,73,73,73,320,0,7,9.305117188,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500337,20,,Aggregated,9.7,0,7,9,10,11,15,21,38,45,73,73,73,332,0,7,9.198625,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500338,20,,Aggregated,10,0,7,9,10,11,15,20,38,45,73,73,73,343,0,7,9.230459184,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500339,20,,Aggregated,9.9,0,7,9,10,11,15,20,38,45,73,73,73,350,0,7,9.196681714,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500340,20,,Aggregated,9.8,0,7,9,10,11,15,20,37,45,73,73,73,359,0,7,9.142851253,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500341,20,,Aggregated,10.5,0,7,9,10,11,15,21,37,45,73,73,73,371,0,7,9.135316712,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500342,20,,Aggregated,9.8,0,7,9,10,11,15,21,37,45,73,73,73,378,0,7,9.124551323,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
1768500343,20,,Aggregated,9.6,0,7,9,10,11,15,21,37,45,73,73,73,390,0,7,9.156417949,2.801999999,72.7441,8
,,,,,,,,,,,,,,,,,,,,,,,
