Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
,,,,,,,,,,,,,,,,,,,,,,,
1768498526,0,,Aggregated,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
1768498527,5,,Aggregated,0,0,65,66,66,100,100,100,100,100,100,100,100,5,2,65,71.33678,61.3229,102.0843,69.6
,,,,,,,,,,,,,,,,,,,,,,,
1768498528,10,,Aggregated,0,0,66,67,69,69,71,100,100,100,100,100,100,14,6,65,59.01106429,29.9527,102.0843,74
,,,,,,,,,,,,,,,,,,,,,,,
1768498529,15,,Aggregated,0,0,65,67,69,69,76,76,100,100,100,100,100,22,11,65,57.46142273,28.5238,102.0843,85
,,,,,,,,,,,,,,,,,,,,,,,
1768498530,20,,Aggregated,2.5,1,61,64,67,67,71,76,100,100,100,100,100,36,17,57,51.50399722,28.2899,102.0843,80.72222222
,,,,,,,,,,,,,,,,,,,,,,,
1768498532,20,,Aggregated,4.666667,2,34,63,65,67,69,76,100,100,100,100,100,45,23,34,47.48389333,27.6704,102.0843,86.71111111
,,,,,,,,,,,,,,,,,,,,,,,
1768498533,20,,Aggregated,5.5,2.75,34,57,64,65,69,76,76,100,100,100,100,56,27,33,44.43490357,27.6704,102.0843,82.25
,,,,,,,,,,,,,,,,,,,,,,,
1768498534,20,,Aggregated,7.2,3.4,33,36,61,64,67,71,76,100,100,100,100,66,32,33,42.42514697,27.2284,102.0843,82.66666667
,,,,,,,,,,,,,,,,,,,,,,,
1768498535,20,,Aggregated,7.5,3.833333,33,36,57,63,67,71,76,100,100,100,100,73,35,33,41.41580274,27.2284,102.0843,81.83561644
,,,,,,,,,,,,,,,,,,,,,,,
1768498536,20,,Aggregated,8.25,4,32,34,37,61,67,69,76,100,100,100,100,85,40,32,39.87553647,27.2284,102.0843,80.47058824
,,,,,,,,,,,,,,,,,,,,,,,
1768498537,20,,Aggregated,8.111111,3.888889,32,34,36,57,66,69,76,100,100,100,100,97,45,32,38.78791443,27.2284,102.0843,79.44329897
,,,,,,,,,,,,,,,,,,,,,,,
1768498538,20,,Aggregated,8.3,4,32,33,36,48,65,69,76,76,100,100,100,105,50,32,38.25373238,27.2284,102.0843,81.33333333
,,,,,,,,,,,,,,,,,,,,,,,
1768498539,20,,Aggregated,8.3,4,32,33,36,41,65,69,76,76,100,100,100,113,54,32,37.92443097,26.8464,102.0843,81.59292035
,,,,,,,,,,,,,,,,,,,,,,,
1768498540,20,,Aggregated,9.6,4.4,32,33,36,40,65,69,76,76,100,100,100,123,59,32,37.8088439,26.8464,102.0843,81.8699187
,,,,,,,,,,,,,,,,,,,,,,,
1768498541,20,,Aggregated,9.9,4.8,32,33,36,39,64,69,76,76,100,100,100,132,64,32,37.28308788,26.8464,102.0843,82.66666667
,,,,,,,,,,,,,,,,,,,,,,,
1768498542,20,,Aggregated,9.9,4.8,31,33,34,37,64,67,76,76,100,100,100,145,73,31,36.69712276,26.8464,102.0843,85.53103448
,,,,,,,,,,,,,,,,,,,,,,,
